Player,Ballers Rank,ADP,Projected Pts.,Risk,Tier,Vid,Notes
Jordan Cameron MIA (8),19,13.12,90.07,5.83,TIER 7,,"Since Cameron's breakout season a few years ago, he hasn't come anywhere close to matching that type of fantasy output. In fact the last two years combined would still be worse than his big year. The physical tools are all there. Now Adam Gase comes to town, an offensive coach that likes to use the TE (think Julius Thomas and Martellus Bennet). He would only be a flier, but you could fly worse than on Cameron."
Kyle Rudolph MIN (6),20,0.00,89.27,4,TIER 7,,"Rudolph came into the league with very high expectations from the fantasy community. Year after year we would continue to hope for the breakout to happen. At this point he is what he is. He can be the occasional fill in help, but he can't be counted on to be a weekly part of your lineup."
Charles Clay BUF (10),21,0.00,83.97,4.17,TIER 7,,"Charles Clay was not worth the money that the Bills paid to get him last season, but he might be worth a flier late in your draft. Clay is a talented pass catcher with big play potential. We saw him explode a few times last year in Buffalo, but more often than not he was rather quiet. The problem with relying on Clay is that Buffalo is a team that throws near the bottom in the league making Clay a good streamer but lousy to rely on."
Austin Seferian-Jenkins TB (6),22,14.03,86,5.33,TIER 7,,"ASJ has been a major disappointment to this point in his career. But we need to remember that his ""career"" has only been two seasons. Over the course of those two seasons, he's missed 16 total games. But great TEs don't usually show up until their third year in the league anyway, and you saw some dynamic plays with ASJ and Winston last year as he averaged 16.1 yards per reception. This is a true boom or bust candidate, but time is running out on him to stake claim to the Bucs primary TE position. However, if he plays a full 16 this year, he has the talent to be top 5 at the position."
Clive Walford OAK (10),23,0.00,82.07,5.33,TIER 7,,"A decent sleeper at the TE spot. QB Derek Carr has shown he will get the ball to the TE. Walford was a rookie last year, but was actually able to make a little bit of noise towards the end of the season. Some are calling for the breakout, while some say he's a terrible football player. It's unlikely to see it happen this year, but Walford is a well rounded player and a breakout wouldn't be a shock."
Martellus Bennett NE (9),24,12.04,73.13,4.7,TIER 8,,"Martellus Bennett has been a capable fantasy tight end for many years and now goes to the Patriots to take on what people hope is the ""Aaron Hernandez role."" Call us skeptical. There is a reason the Bears let him walk and you could see it in his last season (when he was actually healthy). He's still only 29 and he is an upgrade over Scott Chandler for sure. But the Patriots have tried to fill the ""Aaron Hernandez role"" for years with little to no success because, quite frankly, none of those guys are as good as Hernandez was. Bennett isn't either in this stage of his career. Bennett should get a few TDs this year and be used in the passing game to make him an occasional streamer."
Benjamin Watson BAL (8),24,0.00,78,4.53,TIER 8,,"We love Benjamin Watson. He's a great dude, with a great story, and we're happy for him to have had the year he had with the Saints last year. Heck, we're even happy he was able to turn that into a new contract with the Ravens. But his fantasy value came from the system and the QB he had last year. At 35 years old, he's going to a team that has a young stud TE in Maxx Williams and serviceable TE ""Betty"" Crockett Gillmore. He'll be used to block and mentor the young guys, not to produce for fantasy owners. Draft him only as a good luck charm, not a player."
Jared Cook GB (4),26,13.12,72.17,5.03,TIER 8,,Jared Cook is a possible upside candidate this year at tight end now that he's made the move to the Packers. But be careful of your expectations. Aaron Rodgers hasn't used the tight end position very much since the departure of Jermichael Finley. Last year it took injuries to Jordy Nelson and Andrew Quarless PLUS a hail marry touchdown to make Richard Rodgers barely a tight end 1. Then there's the fact that Richard Rodgers is still there to split with Jared Cook.
Maxx Williams BAL (8),27,0.00,67.43,5,TIER 8,,"Williams was the first TE taken in his draft class. It didn't pan out for much last year. The Ravens decided to add veteran Ben Watson to their depth chart, making things very unclear for Maxx. He was drafted to be a pass catcher, he's in Marc Trestman's offense that is frequently friendly to the TE. The table is set, but unfortunately there's around 4 plates at that table"
Virgil Green DEN (11),28,0.00,31.83,5.93,TIER 9,,An athletic monster that many in the fantasy industry have pleaded to see unleashed. This could be the year. The team has been talking him up. Kubiak has a system that generally involves the TE. More likely a name to watch for the waiver wire
Jimmy Graham SEA (5),29,10.01,17.87,9.55,TIER 9,,"Jimmy Graham was a fantasy all-star tight end for the Saints for several years. Last year, he went to the Seahawks and majorly disappointed before getting injured. Even when healthy he was a boom or bust weekly play which is not much different than your average tight end. What's worse is that when he left the team due to injury, their offense seemed to improve. But that was last year... so how about this year? Much, much worse. He's now coming off a devestating injury that says he probably can't return to form in 2016. Sure, they might say he's looking good but we heard the same thing with Victor Cruz last year and we know how well that worked out."
Richard Rodgers GB (4),29,0.00,45.57,5.03,TIER 9,,"Managed to swindle his way to being a TE1 last year. Mostly on the heels of touchdowns, and specifically a one legendary hailmary play that will haunt the dreams of Lions fans to eternity. His production was erratic at best. He is still young. But the Packers brought in Jared Cook during the offseason. It would be a shock to see Rodgers do much of anything for fantasy this year."
Vernon Davis WAS (9),31,0.00,0.00,7.95,TIER 9,,The Washington insurance plan if something terrible happens to Jordan Reed and Niles Paul isn't able to fill in.
Larry Donnell NYG (8),32,0.00,19.03,7.05,TIER 9,,"Donnell is coming off a very serious neck injury. He often looks like an awkward teenager that is still getting used to his body after a big growth spurt. With the way Will Tye played, Donnell could find himself on the bench."
"Zach Miller, FA",33,14.03,0.00,0.00,TIER 9,,
Crockett Gillmore BAL (8),34,0.00,0.00,6,TIER 9,,Gillmore has had multiple offseason surgeries. He had a decent year and was a useful spot starter for fantasy. But the Ravens have been proactive adding Ben Watson to the roster if Gillmore can't be ready for Week 1.
Jace Amaro NYJ (11),35,0.00,0.00,5,TIER 9,,
"Owen Daniels, FA",36,0.00,0.00,0.00,TIER 9,,Owen Daniels proved last year that he isn't good anymore. Plus he doesn't have a team. That always hurts your fantasy value.
Jacob Tamme ATL (11),37,0.00,0.00,4,TIER 9,,
Josh Hill NO (5),38,0.00,0.00,5,TIER 9,,
Ryan Griffin HOU (9),39,0.00,0.00,5,TIER 9,,
Jesse James PIT (8),40,0.00,0.00,4,TIER 9,,
Hunter Henry SD (11),40,0.00,18.33,6,TIER 9,,
Austin Hooper ATL (11),42,0.00,18.5,6,TIER 9,,
Mychal Rivera OAK (10),43,0.00,0.00,5,TIER 9,,
Blake Bell SF (8),44,0.00,0.00,0.00,TIER 9,,
Darren Fells ARI (9),45,0.00,0.00,0.00,TIER 9,,
Brent Celek PHI (4),46,0.00,0.00,0.00,TIER 9,,
Jeff Cumberland SD (11),47,0.00,0.00,0.00,TIER 9,,
Lance Kendricks LA (8),48,0.00,0.00,0.00,TIER 9,,
